id,numberOfASTs,revisionCommit,projectNames,buildTools,projectUrls,stars,numberOfRefs
7386242,6541,5275a15136d0b65a55b5118e3b16c444221be816,yuifan/pexus4_sdk,eclipse|ant|android|gradle,https://github.com/yuifan/pexus4_sdk,0,25
9892331,1145,e48389deebaa3823857c19458f87ad3949ccfd4f,Bindernews/SimpleModLauncher,,https://github.com/Bindernews/SimpleModLauncher,0,5
11354351,626,4a65e663fc2e022a5dbb904473422a55b28ddb4c,cdavoren/xsge,ant,https://github.com/cdavoren/xsge,0,1
10668768,10305,3301e7958933bdf027987d3e558b305e6270110d,theappgeek/Rentquest,,https://github.com/theappgeek/Rentquest,0,33
7560806,2671,9d3f84e1850cb9eaf98e9537d5ba851125331c82,tloehr/OPDEstart,ant,https://github.com/tloehr/OPDEstart,-1,4
7013755,1488,f7d3b16fa054e0a2b12d2d9810cac525c002546a,luya/ShowMeJavaSEVersion,,https://github.com/luya/ShowMeJavaSEVersion,0,2
2057742,5352,7cc807378859e7e6ca4d403ea35cf0851ba74a36,jim618/multibit,eclipse|ant|maven|idea,https://github.com/jim618/multibit,357,14
5921367,124,b233b5445465832b86393e229392bcc110a901c5,kux/fdrawer,eclipse|ant,https://github.com/kux/fdrawer,0,1
1957046,804,ef6ae02e48c4baf3ff0c7c3e78405b470e544a54,Jarcionek/Bricks3,,https://github.com/Jarcionek/Bricks3,0,4
3654230,229,d1f1db80d6f3947faadfea083a42662d3d6dbfcc,LBragg/Acacia,eclipse|ant,https://github.com/LBragg/Acacia,3,1
5440373,462,936b1549e6f79aa55b7265d25161f9a7be104a98,cismet/abf,maven|eclipse|ant,https://github.com/cismet/abf,1,1
4661774,16523,48b2ee30d3d27879fa34bb79590f89bccb973589,petercrlane/chrest,,https://github.com/petercrlane/chrest,7,12
3106283,85,74e2525e210a0b475caeef452ca9eb9c7a3b0d93,AlbertoPeon/Statistical-NLP-Application-for-analyzing-messages-between-individuals,eclipse,https://github.com/AlbertoPeon/Statistical-NLP-Application-for-analyzing-messages-between-individuals,1,1
5850676,605,9dc70e35b54c9bbfc86f6771e8f175eb91b26bb3,trajano/taskunifier,ant|eclipse,https://github.com/trajano/taskunifier,1,6
12662595,1593,eba841d3bcc6015a74d29e99dc824fda756c1253,AceMaester/Shakespearean-Monkeys,,https://github.com/AceMaester/Shakespearean-Monkeys,0,6
5550788,725,189378dae0e2e121ea49b023c3afaa02948279aa,stigglePogletX/Address_Book_Capstone,eclipse,https://github.com/stigglePogletX/Address_Book_Capstone,0,12
6765434,1197,681501dfec3a014ee88d9e836af4f6bce65b9116,ClementNotin/audioconferencing,maven,https://github.com/ClementNotin/audioconferencing,4,1
10188977,207,93eec06d63022c2e4fdc2cf238797ad44aaa0c6c,spicyramen/ctx-log-parser,eclipse,https://github.com/spicyramen/ctx-log-parser,0,4
11821050,581,10cd413391cb74fb83c8388dfb2f3db7933ae1fb,axatrikx/eBayMaster,eclipse|maven,https://github.com/axatrikx/eBayMaster,6,1
717796,69,3f2f9debc295c100cec49c970fdcabd92d8261e9,wichtounet/jtheque-core,maven,https://github.com/wichtounet/jtheque-core,3,2
8230327,1515,587c4829b8ea09cb43ab9893fa90e32a4fb7f4e6,MovingBlocks/TerasologyLauncher,gradle,https://github.com/MovingBlocks/TerasologyLauncher,81,5
8957418,4899,2d63ad17d3261292ee2b41097d14a94ab1b59c22,CoPhi/ocroperseus,maven,https://github.com/CoPhi/ocroperseus,0,1
11035704,19080,599eccc4cb4333cf9ca614e3b2496c5975d3f3c8,processing/processing-experimental,eclipse|ant,https://github.com/processing/processing-experimental,73,46
10319590,773,798c1628fefb1f31448eed6818b5fd7f616bf088,rtuck99/routerMonitor,eclipse|maven,https://github.com/rtuck99/routerMonitor,0,1
7044390,2971,1c7d9d9144f906204001afd1c76fd47ef0548b88,jesterpm/TesseractProject,eclipse,https://github.com/jesterpm/TesseractProject,0,5
10932726,2706,d39aa1ed9724f399590d672f9a41a2d5f1942931,LynkLin/lynk-swing,eclipse,https://github.com/LynkLin/lynk-swing,0,3
2769708,530,e272b414673570364ca3621a35b03402596d7f3c,2uro/Set-dev,ant|eclipse,https://github.com/2uro/Set-dev,1,2
7500216,309,dd1ac407794d8cba21f0d5513018016e569bf60d,cakoose/cks,idea,https://github.com/cakoose/cks,0,2
8443315,446,b68961c183ff78e1737a9846a4ebdafa143a52ea,ceciliazhou/checkers,,https://github.com/ceciliazhou/checkers,0,1
3663040,524,1a9ed80106023ce83ed32e2043ae5d947687925c,maxtomin/Sonar02Temp,maven|ant|eclipse,https://github.com/maxtomin/Sonar02Temp,1,1
321915,2569,57680b743c3da5cef0e5615f3147007e51353f15,dcbriccetti/dbschools,maven|sbt,https://github.com/dcbriccetti/dbschools,10,2
1322371,2097,46c83fa037b51a8300a3d9486b8a04f52b52856d,cbarton/WordMole,eclipse,https://github.com/cbarton/WordMole,1,2
7447535,4172,b19bd34d135793ade418e33e7a0c327b622e7be0,matthiasblaesing/netbeans-mantis-integration,maven,https://github.com/matthiasblaesing/netbeans-mantis-integration,22,9
8582947,922,724210d092a039b303201310e297d4104ec2ddc3,ShenMinwei/Spider,,https://github.com/ShenMinwei/Spider,-1,1
4031792,67,7b396763493f17006eb83b473949640323d8675c,mdogan/twit-demo,maven,https://github.com/mdogan/twit-demo,-1,2
8727621,2365,c173a9e48126aab9bf07511a53ceacf0a00321b2,Tuplanolla/sitc,eclipse|ant,https://github.com/Tuplanolla/sitc,0,4
9898703,411,28e1d89226eceeadcd5b8775f7aff22b45994b3d,KetanoLab/SimiDic,android|eclipse,https://github.com/KetanoLab/SimiDic,6,1
11221335,795,8af3f171f869e5b88e7bc706233d6e0fde9077a8,adityatj/Metal-Lyrics-Grabber,,https://github.com/adityatj/Metal-Lyrics-Grabber,0,1
719160,1090,43a3ac2c80005dc408fd690e8ef0966b4eb04eeb,daros/Progress,gradle,https://github.com/daros/Progress,1,5
8627167,808,901eec05d1fbde32c655d9917cf69e9564f16922,JoelBondurant/MatchPoint,ant,https://github.com/JoelBondurant/MatchPoint,0,4
3584229,294,2ad942b604037c07632e555646955696c54f69f4,peq/WurstScript,eclipse|ant|maven,https://github.com/peq/WurstScript,22,1
8579797,2841,bafb5c5d68ffc6b0c56cfaf9b1dd748839fae3a2,Jonny-pasta/Project---spring-2012,maven|ant,https://github.com/Jonny-pasta/Project---spring-2012,0,12
9430300,73,bf577ef5370a7a4cf5ea8b1264b6b2b19e5e7f50,amasko/complexCalc,maven|idea,https://github.com/amasko/complexCalc,0,1
8206759,730,b68eef352299e69c37f55206e7f7fd8f89e51d9d,kengelke/pdf2cbz,maven,https://github.com/kengelke/pdf2cbz,-1,4
8564882,3651,566062879e8e58a2f3b2f009560b68272f116073,lamida/article-downloader,eclipse|maven|ant,https://github.com/lamida/article-downloader,0,2
7550046,95,6336dec29fbc44d6a9d110f294a20f2f8f1241b1,rob42/freeboard-server,maven|eclipse,https://github.com/rob42/freeboard-server,78,1
5994317,877,53557bc0f176c0f6b3c58df6fec99883ed7d0062,victortey/geotool,maven|ant|eclipse,https://github.com/victortey/geotool,0,3
2317458,2435,30fdd4d4fab444d1c41bfac374f7eeb1f7b0209c,busjaeger/cs423fa11grp6,maven,https://github.com/busjaeger/cs423fa11grp6,3,1
12586278,705,4b120c375d3f976f91ab576b63a356e974448fd1,AllesVollerKot/homeserver,eclipse,https://github.com/AllesVollerKot/homeserver,0,1
4231298,225,e056e5e457e7a9fdd24da238b845fb7190eaceda,saiful-mukhlis/coba-mp3,eclipse,https://github.com/saiful-mukhlis/coba-mp3,1,1
7619482,3138,4a27077b2a70740279613b36f31675e7122797bb,Moon-Owl/InfinityPack-Launcher,maven,https://github.com/Moon-Owl/InfinityPack-Launcher,1,10
1532101,1505,324a8bae87b048eec018a9b11211caeeb4880296,lemmy/Openfire4OSGi,ant|eclipse|maven,https://github.com/lemmy/Openfire4OSGi,0,6
13422392,461,8432323cacd341fda16ca0d4da2ba23a4567b9cc,AIakovenko/Analysator,idea|maven,https://github.com/AIakovenko/Analysator,0,1
10846791,1081,f4edfba04421b89f08484071760bf0fdaa0a2237,JCPP/GestionaleMagazzino,eclipse,https://github.com/JCPP/GestionaleMagazzino,1,4
2575944,3648,e242cc56a0e5881a1bb737b4b27753739b4f0f8c,zlikavac32/Projekt-EA,eclipse,https://github.com/zlikavac32/Projekt-EA,1,8
10544346,346,fb6702974668e372b251385c72ae00497b5648b5,sanchezpaus/collect-earth,maven|eclipse,https://github.com/sanchezpaus/collect-earth,8,1
6158449,1364,17a4ec6fd26385dcb29c5f2e0618b1e2d389a4c3,Jaibercom/SmaieeV2.0,ant,https://github.com/Jaibercom/SmaieeV2.0,0,5
2723158,301,e25c69ad4475bfc589b0e7596ee2bedb519c5135,SyntaxError7/IsoTo360,ant|idea,https://github.com/SyntaxError7/IsoTo360,2,2
9768133,2437,f74ef9e5102460f275bf0ac085252b9db0cf7627,JoschkaSchulz/GaltonBrett,ant|eclipse,https://github.com/JoschkaSchulz/GaltonBrett,0,2
10937037,264,858118eff4498c08455904c8e93aad802bb2efce,akavrt/evocut,maven,https://github.com/akavrt/evocut,0,1
9709069,1842,65e467b993fcea85ace321f315b2172d1896495c,kemlg/owlseditor,eclipse|ant|maven,https://github.com/kemlg/owlseditor,1,1
958922,406,11384b3ca957828ae66a72c9e28edd42c97952d5,open2jamorg/open2jam,ant,https://github.com/open2jamorg/open2jam,50,3
10762445,3385,5596a01b1041c08cbc1d95bbb8f59cec56f3cff1,Dart851/DeMailSocket,eclipse|maven,https://github.com/Dart851/DeMailSocket,0,7
1446224,54,f0cce62474636c87dfafb18364e2026cabb1ede5,frodeaa/tfdhs,maven,https://github.com/frodeaa/tfdhs,1,2
