id,numberOfRefs,buildTools,projectUrls,projectNames,revisionCommit,numberOfASTs,stars
2541809,1,ant,https://github.com/kaizawa/esximonitor,kaizawa/esximonitor,2bb2c95c5d9397e93cf851adc7172cce206039b8,577,5
7019346,5,ant,https://github.com/alexandrevasconcelos/JavaOne-EnsembleJavaFX,alexandrevasconcelos/JavaOne-EnsembleJavaFX,b60000ef23e381c35681ab99850a9b5c09dba99a,636,0
10959487,4,ant,https://github.com/JanHorak/KeySaver,JanHorak/KeySaver,6185bdfd5d6dc57a6e809003395966ac53f491f3,454,0
13498498,4,maven,https://github.com/raghsr/firmenich-project-planner,raghsr/firmenich-project-planner,f1a1c903f4b21cf17f0c804e4feab2e3f4ec3136,212,-1
12059703,1,eclipse,https://github.com/freddahlberg/SignalTestFx,freddahlberg/SignalTestFx,c607c39ba965137f71e9a3047858347e340ce7f3,101,0
9690586,15,ant|idea|eclipse,https://github.com/s3lvatico/ProJavaFx2,s3lvatico/ProJavaFx2,a35ece3dba7454b11e70f56ffedbe5252790c922,1574,-1
7941006,6,ant,https://github.com/nagharu/TSP,nagharu/TSP,6b64c3940182f3c039560a2355c0af671cf4b696,1263,-1
10037067,2,ant,https://github.com/Zudins/ThreeMachines,Zudins/ThreeMachines,cc02b38c51b1b960d8f6b3c9559eef0e2740039b,1520,0
9016001,2,,https://github.com/marco76/DirMonitor,marco76/DirMonitor,62a9a63a3bb590bcf11595c6daed66e1ff0b92c8,88,0
9891370,15,eclipse,https://github.com/fieryphoenix/screen-caster,fieryphoenix/screen-caster,7e6e2944d63a3049da7b240802c49e1dddfbef2b,897,0
