id,numberOfRefs,buildTools,projectUrls,projectNames,revisionCommit,numberOfASTs,stars
4851349,4,maven,https://github.com/jtdeane/demo-spring-orders,jtdeane/demo-spring-orders,c7d7c65f8670a0071884432b2eb2595abd52ea85,275,12
6431419,2,eclipse|maven,https://github.com/io7m/spectors,io7m/spectors,86754f95022604bf8279c27753a6963838ec6fab,334,-1
9676206,6,maven,https://github.com/andreasBerre/eventSourced,andreasBerre/eventSourced,08baebc2e6976ca184c9153b7114eb03d0418f9f,461,7
1603527,5,idea|gradle,https://github.com/aestasit/akka-tutorial,aestasit/akka-tutorial,44b76ff54b2be79b9b0d067c008c899119ac79e7,78,4
6580146,9,maven,https://github.com/faubertin/test-java,faubertin/test-java,3b995c748b04dddecf76e888fe2c4feb08e850c0,99,-1
3599189,14,maven|eclipse,https://github.com/write2munish/Akka-Essentials,write2munish/Akka-Essentials,b88c9a8533bafe413a126baafe399cdb0c25ec12,877,613
7875366,1,maven,https://github.com/haighis/AkkaReferenceApplication,haighis/AkkaReferenceApplication,12743e6603f0395507478d95e07be0277856ab8d,166,0
2415675,1,gradle,https://github.com/jamesward/AkkaFun,jamesward/AkkaFun,c5a30a76e0a98f36c93c536f52a1aeb027d6bb42,74,8
11174268,1,maven,https://github.com/encontra/encontra-webapp,encontra/encontra-webapp,2c297eb3d25af80d5f5d6b7231cc7822e9891815,1572,0
8208619,2,maven,https://github.com/gbougeard/akka-tests,gbougeard/akka-tests,1e640fee36fae9af6a6427bc529da0cfa58dba25,190,-1
5109367,2,sbt|eclipse,https://github.com/migue/liferay-cloudservices,migue/liferay-cloudservices,a961386a16886cebfd6ff86963974fc40383a025,320,1
7700775,9,gradle|idea|eclipse,https://github.com/paoloditommaso/circo,paoloditommaso/circo,562149b4f64fa81d7343fda63c1667c775907eb4,270,1
10748312,6,,https://github.com/ugarcia/umappin,ugarcia/umappin,2d84301bd18a4dac36e66588a4a3158efaf84b14,298,0
6330797,2,maven,https://github.com/jvataman/analysis,jvataman/analysis,ac7b411856b84eb5905d3835aaba28c44d545672,191,0
10411957,78,maven,https://github.com/afluentes/afluentes,afluentes/afluentes,93e550e81ee872f5e73c82a388527f56859505af,1047,0
11745777,1,,https://github.com/retroryan/AwsDashboard,retroryan/AwsDashboard,00901b45fcaa7101d12ce2d5e62ecad67cd4f483,133,0
11925816,2,eclipse|maven|ant,https://github.com/rock-hu/works-message,rock-hu/works-message,cdfbb4610f924a46385a13104f24b875dfd01560,175,1
3315140,1,maven|ant,https://github.com/nethad/clustermeister,nethad/clustermeister,1567e5b74b349a4e9d332122ec715f50a3ac3f60,184,7
10973023,7,eclipse|maven|ant|idea,https://github.com/satishThakur/javaprojects,satishThakur/javaprojects,bb99b1e1c731852a13eef089d6fcb13cd2bfea0b,548,0
12984335,1,sbt,https://github.com/gsogol/Akka-Spring-ZeroMq,gsogol/Akka-Spring-ZeroMq,7dc339b14f2b5f21c8a67430bc6d512269b8b355,82,1
1932328,1,maven,https://github.com/tequalsme/concurrency-samples,tequalsme/concurrency-samples,ddda409f31493c3dafd129eadf049dde046e1b19,210,3
8160595,2,gradle,https://github.com/hegjon/akka-gateway-pattern,hegjon/akka-gateway-pattern,b21bd7096dc31c254fe365382be909aa5fe08908,175,0
4713066,1,,https://github.com/joscha/play-authenticate,joscha/play-authenticate,0e91d7a4784148e20ac8dff3abcee75ecf95de7b,412,790
12399319,1,idea|maven,https://github.com/alainsahli/spring-akka-integration,alainsahli/spring-akka-integration,a03eed31801407ea0903e3e13fb712d3d989cb67,53,0
10643001,4,eclipse|maven|ant,https://github.com/eirikrwu/tinybrain,eirikrwu/tinybrain,79224cd32971cd1cbdb319478d56c20166444b3b,2561,14
12310962,7,sbt,https://github.com/c9r/playframework,c9r/playframework,bea4ea047680c0ffc6bf7e746554aa56ccbb798a,1234,-1
11265707,1,maven,https://github.com/mohitarora/akka-guice-di,mohitarora/akka-guice-di,7b606f03dea3c912abc7cbf8a8b10747f525bb97,56,2
6843946,1,maven,https://github.com/danielreuterwall/learning-akka,danielreuterwall/learning-akka,5702a5ada9ddf71e8f0a6b6c760dc98b3f2f3aff,73,1
8827613,1,sbt|eclipse,https://github.com/jerrin/play-akka-camel-sample,jerrin/play-akka-camel-sample,a9fca97b6295ec63a7e66e75fda75ed674b4f6e0,146,5
12951727,1,maven,https://github.com/paweld2/samExample,paweld2/samExample,4c644fb9b7416bc78f4ec249bb6c0bdab7e32e3f,228,0
9401647,1,maven,https://github.com/dcaruana/try-akka,dcaruana/try-akka,902f003ab9547eb3229f034ca7d6c2bfe0f3fb3e,190,0
6971157,1,eclipse,https://github.com/fcriscuo/AkkaDev,fcriscuo/AkkaDev,de0c7a16a2305f6d7d0136400f06fdf45d9528cd,89,-1
10166597,2,eclipse|ant|maven,https://github.com/VPAC/rsa,VPAC/rsa,8a18240d277d19c1269a13f63d242bcec17d4ef2,123,4
11224450,2,eclipse|android,https://github.com/mja2637/AndroidClient,mja2637/AndroidClient,a5b9fef1516771a7376f090c1f1b3ebb03d7b661,364,0
